RowName,Cname,Ctext,CurIdx,FocusCharacter,Command
0,,치이익— 거친 노이즈 소리와 함께 통신 패널의 불빛이 깜빡였다.,0,2,0
1,세령,"...통신 재개.\n카엘리스, 복귀 신호가 미약하군. 임무 상황은?",1,1,1
2,카엘리스,목표였던 '영적인 힘'에 대한 데이터 수집은 실패했다.,2,0,0
3,,통신 너머 세령의 눈매가 날카롭게 좁혀지는 것이 보였다.,3,2,0
4,세령,실패? 네가 빈손으로 돌아오는 건 드문 일이군.\n이유가 뭐지?,4,1,0
5,카엘리스,"알려준 작전 지역을 수색했지만, 소득은 없었다.",5,0,0
6,카엘리스,"접촉한 대상 '염윤'은 영적인 힘을 다루긴 했으나, 너무 불안정했다.\n심지어 그자의 몸 속에 있는 악령을 겨우 통제하고 있더군.",6,0,0
7,세령,"불안정했다라... 그래서, 그 무사는 어떻게 됐지?",7,1,0
8,카엘리스,"...대화를 시도했지만, 결국 교전할 수 밖에 없었다.\n전투 이후에는 끝내 죽었고.",8,0,0
9,,"세령은 마치 예상했다는 듯, 짧고 차가운 한숨을 내쉬었다.",9,2,0
10,세령,"또, 어쩔 수 없었다는 얘기인가.",10,1,0
11,카엘리스,...뭐?,11,0,0
12,세령,"위험해 보이면 제거한다라…\n하긴 그게 네 방식이지. 아니, 그게 인간들의 전형적인 해결 방식인가?",12,1,0
13,카엘리스,...지금 그게 오퍼레이터로서 할 말인가?\n현장은 통제 불능이었다.,13,0,0
14,세령,영적인 힘의 근원일지도 모르는 중요한 샘플이었다.\n어쩌면 통제가 가능했을지도 모르지.,14,1,0
15,세령,그런데 너는... 그 가능성을 네 손으로 뭉개버린 거야.\n늘 그렇듯이.,15,1,0
16,,"그녀의 목소리에는 단순히 임무 실패를 질책하는 것을 넘어선, 묘한 혐오감이 묻어있었다.",16,2,0
17,카엘리스,내 판단에 의문을 가지는군.\n하지만 현장 상황은 불가피했다.,17,0,0
18,카엘리스,"무엇보다 영적인 힘은 마법과 달르게 데이터로 변환할 수 없었다.\n설령 생포했더라도, 결국 소통이 가능해야 했어.",18,0,0
19,,세령은 내 말이 끝나기도 전에 말을 잘랐다.,19,2,0
20,세령,수집 방법이 불가능하다는 이유로... 그래서 포기하고 죽였다?,20,1,0
21,세령,방법이 없으면 찾아내는 게 네 임무였어.\n넌 그저 고민하기 싫어서 가장 쉬운 '파괴'를 택한 것뿐이야.,21,1,0
22,세령,그걸 '불가피했다'고 포장하지 마.\n그저 무능한 것이니까.,22,1,0
23,,"그녀는 더 이상 듣고 싶지 않다는 듯, 신경질적으로 좌표를 전송했다.",23,2,0
24,세령,더 이상의 작전 수행은 시간 낭비로 보이니 탈출 루트로 이동해.,24,1,0
25,,"뚝- 하는 소리와 함께 화면이 암전되었다.\n평소의 냉철한 브리핑이 아닌, 실망과 비난이 섞인 일방적인 통보였다.",25,2,2
26,카엘리스,...반응이 날카롭군.,26,0,0
27,,"꺼져버린 통신 화면을 바라보던 중, 약간의 두통과 함께 위화감에 잠시 발을 멈췄다.",27,2,0
28,,기억의 파편 하나가 수면 위로 떠올랐다.,28,2,0
29,세령,"""이번 임무도 위험할 거야. 이 무게가 두렵진 않나?""",29,1,4
30,카엘리스,"""네가 내 눈과 귀가 되어주는데 무거울 게 뭐 있나.\n내 등 뒤는, 가장 신뢰하는 너에게 맡긴다.""",30,0,0
31,세령,"""훗... 든든하군. 그래, 나는 이 일에 긍지를 느낀다.\n나는 평화를 지키기 위해선 내 모든걸 희생할 수 있어, 카엘리스.""",31,1,0
32,,"과거의 그녀는 누구보다 나를 신뢰했고, 인류 수호라는 사명에 확신을 가지고 있었다.",32,2,4
33,,"방금 전, 인간의 판단을 비꼬며 짜증을 내던 모습과는... 너무나 달랐다.",33,2,0
34,카엘리스,"...사람이 변한 건가, 아니면 내가 모르는 무언가가 있는 건가.",34,0,0
35,,"찜찜한 기분을 뒤로하고, 나는 전송된 좌표를 향해 다시 걸음을 옮겼다.",35,2,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
