RowName,Cname,Ctext,CurIdx,FocusCharacter,Command
0,,치이익— 하는 소음과 함께 통신 패널이 활성화되었다.,0,2,0
1,,익숙한 기계음. 오퍼레이터 세령이다.,1,2,0
2,세령,"...통신 재개.\n카엘리스, 응답하라. 좌표가 불안정해.",2,1,1
3,카엘리스,수신 양호.\n복귀 루트를 따라 이동 중이다.,3,0,0
4,세령,다행이군.\n임무 상황을 보고해라. 목표였던 마법 데이터는?,4,1,0
5,카엘리스,확보했다.\n그리고... 복귀 과정에서 사망한 아군 요원의 기록도 회수했다.,5,0,0
6,세령,아군 사망자인가.\n설마 임무 중에 '신의 숭배자'들과 조우했나?,6,1,0
7,카엘리스,신의 숭배자?\n...기억에 없는 단어군.,7,0,0
8,세령,하아... 기억 상실이 꽤 심각하군.\n우리 인류평화단체의 주적이다.,8,1,0
9,세령,썩어빠진 인류를 청소하고 신세계를 열겠다며 테러를 일삼는 광신도 집단이지.\n네가 이번 임무에 투입된 것도 놈들의 기술에 대비하기 위함이지.,9,1,0
10,카엘리스,...기억해두지. 하지만 이번 건은 그들이 아니다.\n요원을 죽인 건 평범한 제국의 병사들이었다.,10,0,0
11,,세령에게 에이드린과 요원 알파에 대한 이야기를 설명했다.,11,2,0
12,세령,제국이라... 고작 영토 분쟁 따위로 그런 일을 벌인 건가.,12,1,0
13,세령,"역시 인간의 욕망은 끝이 없군.\n숭배자들이나 일반인이나, 파괴하고 빼앗는 본성은 매한가지야.",13,1,0
14,카엘리스,부정할 수 없군... 비극의 원인은 인간의 탐욕이었으니까.,14,0,0
15,카엘리스,"하지만 세령, 그 비극을 막아선 것도 인간이었다.",15,0,0
16,카엘리스,"요원 알파는 자신의 목숨을 대가 없이 내던져 에이드린을 지켰다.\n탐욕만이 인간의 본성이라면, 그 희생은 설명이 안 돼.",16,0,0
17,세령,"...글쎄, 숭고한 희생인 건 인정하지.\n하지만 근본적인 원인을 생각해 봐.",17,1,0
18,세령,"애초에 제국의 탐욕이 없었다면,\n그 요원이 목숨을 버릴 일도,에이드린에게도 그런 비극적인 일도 없었을 거야.",18,1,0
19,세령,누군가 희생해야만 지켜지는 평화라니…\n너무 불합리하지 않나?,19,1,0
20,,"세령의 목소리에는 평소의 냉철함을 넘어선, 짙은 회의감이 묻어있었다.\n 내가 반박하려던 찰나였다.",20,2,0
21,세령,"나는 단지 팩트를 말하는…\n잠깐, 후방 6시! 이상신호 포착!",21,1,0
22,,"경고와 동시에, 등 뒤의 공기가 찢어지는 듯한 파열음이 고막을 때렸다.",22,2,2
23,시간망령,치지직... 키릭... 캬아아악!!,23,1,1
24,,생각할 겨를은 없었다.\n뇌가 위험을 인지하기도 전에 내 몸이 먼저 반응하여 검을 휘둘렀다.,24,2,0
25,,검끝에 묵직한 감각이 스치고 지나갔다.\n비명조차 지르지 못하고 시간망령은 쓰려졌다.,25,2,2
26,세령,...!!,26,1,1
27,카엘리스,후우...처리했다.,27,0,0
28,세령,방금 그건... 사각지대에서의 기습이었어.\n센서 경고보다 네 반응이 더 빨랐다. 어떻게?,28,1,0
29,카엘리스,"...모르겠다, 살기가 느껴지자마자 몸이 제멋대로 움직였어.",29,0,0
30,,"거세게 뛰는 심장 박동과 함께, 뇌리를 파고드는 날카로운 통증이 느껴졌다.",30,2,0
31,,그 통증 사이로 파편화된 기억 하나가 수면 위로 떠올랐다.,31,2,0
32,카엘리스,이번 작전은 위험해.\n놈들의 본거지에 잠입하다니.,32,2,0
33,세령,걱정 마. 세령은 우리 중 가장 유능해.\n완벽하게 그들을 속일 거야.,33,2,0
34,,"떠오른 기억은 짧았지만, 눈앞의 상황을 설명하기엔 충분했다.",34,2,0
35,카엘리스,...그렇군. 이제야 알 것 같아.,35,0,0
36,세령,...무슨 소리지?,36,1,0
37,카엘리스,아까 숭배자들에 대해 이야기할 때 느꼈던 위화감 말이다.,37,0,0
38,,통신 너머로 짧은 정적이 흘렀다.\n그녀의 숨소리가 미세하게 멈춘 듯했다.,38,2,0
39,세령,"...그 말투, 혹시 기억이 돌아왔나?",39,1,0
40,카엘리스,...전부는 아니다. 그저 아주 짧은 파편만 스쳐 지나갔다.,40,0,0
41,세령,그래... 적을 상대하려면 적의 사고방식쯤은 꿰뚫고 있어야지.,41,1,0
42,세령,너무 유능한 오퍼레이터를 둔 덕이라 생각해라.\n잡담은 거기까지하고 포탈로 이동해라.\n추가 개체들이 몰려온다.,42,1,0
43,카엘리스,...알겠다. 이동한다.,43,0,2
44,,"통신은 끊어졌다. 나는 무덤덤하게 발걸음을 옮겼지만,\n방금 전 그녀와의 대화에서 느낀 미묘한 긴장감은 쉽게 가시질 않았다.",44,2,0
